ZCTA5,LANDSQMT,POPULATION
2740,14724476,43087
2743,47725420,10307
2744,3342654,11900
2745,26749138,24576
2746,5480318,15342
2747,126401587,22927
2748,58249951,11442
2760,46544694,26739
2762,28482636,8264
2763,2336585,1973
2764,27437198,3988
2766,72033187,19031
2767,61665066,13566
2769,121568446,11608
2770,83306341,5093
2771,47566149,13708
2777,58720360,15840
2779,42768262,6411
2780,85565377,49036
2790,139091966,15717
2791,2728823,246
2802,506432,786
2804,26151288,2607
2806,21277195,16310
2807,23521349,1051
2808,20630324,2401
2809,25438948,22938
2812,17189405,1497
2813,94433000,7831
2814,115947905,7496
2815,10805286,278
2816,98019007,32611
2817,130171360,6135
2818,56516634,18082
2822,144781539,6111
2825,139970126,5377
2826,6470179,791
2827,54595176,2172
2828,12507949,7704
2830,50216380,5976
2831,24910234,3515
2832,57723107,4608
2833,18300606,784
2835,24469397,5405
2836,796196,136
2837,53151692,3492
2838,3703225,3400
2839,11207815,1902
2840,18728198,23335
2841,1208304,1392
2842,32873448,16095
2852,80008827,22551
2857,108120139,8412
2858,1496468,570
2859,73465725,6738
2860,13980575,45199
2861,9231018,26178
2863,3110992,19385
2864,68323532,33396
2865,43228908,16951
2871,44091356,17171
2872,15405407,218
2873,7272847,235
2874,39249406,5860
2875,2989259,307
2876,348341,430
2878,75250623,15780
2879,96809526,20371
2881,9361299,7841
2882,33140275,14184
2885,15868796,10627
2886,38654310,29269
2888,15358671,19912
2889,22521492,28217
2891,68268331,21198
2892,70949427,4988
2893,20376824,29630
2894,11226698,722
2895,20043727,41186
2896,61303231,11537
2898,29911041,1696
2903,4643515,10780
2904,13453533,29359
2905,9707053,25223
2906,8394524,28387
2907,5700783,27445
2908,8186047,37467
2909,8954986,43540
2910,8913159,21000
2911,6411107,15574
2912,112446,1370
2914,12653252,21963
2915,14329687,16897
2916,6617778,8139
2917,55253789,13762
2919,60827987,28790
2920,23780134,37547
2921,34041167,12361
3031,89774262,11247
3032,65270868,4953
3033,51203527,4987
3034,85421126,3970
3036,67201175,4782
3037,124936065,4219
3038,93204530,33269
3042,67243946,6341
3043,81180671,1573
3044,43792587,4263
3045,92372713,13560
3046,79985967,2758
3047,68326777,1767
3048,76543803,3426
3049,82266249,7688
3051,73397153,24480
3052,38671274,8258
3053,106355191,23957
3054,84222976,25477
3055,64379100,15086
3057,43396473,2500
3060,16928572,29357
3062,31297883,26694
3063,20987772,16216
3064,10687706,14227
3070,111437362,5254
3071,84782332,5109
3076,68298210,12897
3077,76176267,10155
3079,64026012,28776
3082,73980829,1615
3084,57575557,1366
3086,69876208,3728
3087,69428290,13592
3101,2004383,3049
3102,23122461,31096
3103,25300566,36476
3104,21562259,32798
3106,94315385,13374
3109,19074687,10314
3110,85023294,21203
3215,125552391,247
3216,99230223,2159
3217,28461302,2076
3218,35920012,960
3220,80045126,7430
3221,119052795,2091
3222,188285939,5353
